,mes,cargo,ativo_mes,saidas_mes,turnover_mensal
105,2024-11,motorista_campo,339,10,"2,95%"
106,2024-11,organizador_patio,312,7,"2,24%"
107,2024-11,lider_area,339,6,"1,77%"
108,2024-11,lider_geral,158,3,"1,90%"
109,2024-11,operacional_total,3413,81,"2,37%"
110,2024-12,mecanico,880,25,"2,84%"
111,2024-12,estoquista,258,9,"3,49%"
112,2024-12,soldador,174,1,"0,57%"
113,2024-12,front_atendimento,578,15,"2,60%"
114,2024-12,consultor_tecnico,320,10,"3,12%"
115,2024-12,motorista_campo,329,12,"3,65%"
116,2024-12,organizador_patio,305,12,"3,93%"
117,2024-12,lider_area,333,4,"1,20%"
118,2024-12,lider_geral,155,4,"2,58%"
119,2024-12,operacional_total,3332,92,"2,76%"
120,2025-01,mecanico,855,27,"3,16%"
121,2025-01,estoquista,249,13,"5,22%"
122,2025-01,soldador,173,8,"4,62%"
123,2025-01,front_atendimento,563,12,"2,13%"
124,2025-01,consultor_tecnico,310,9,"2,90%"
125,2025-01,motorista_campo,317,9,"2,84%"
126,2025-01,organizador_patio,293,17,"5,80%"
127,2025-01,lider_area,329,6,"1,82%"
128,2025-01,lider_geral,151,1,"0,66%"
129,2025-01,operacional_total,3240,102,"3,15%"
130,2025-02,mecanico,828,31,"3,74%"
131,2025-02,estoquista,236,13,"5,51%"
132,2025-02,soldador,165,5,"3,03%"
133,2025-02,front_atendimento,551,22,"3,99%"
134,2025-02,consultor_tecnico,301,5,"1,66%"
135,2025-02,motorista_campo,308,10,"3,25%"
136,2025-02,organizador_patio,276,10,"3,62%"
137,2025-02,lider_area,323,5,"1,55%"
138,2025-02,lider_geral,150,2,"1,33%"
139,2025-02,operacional_total,3138,103,"3,28%"
140,2025-03,mecanico,797,32,"4,02%"
141,2025-03,estoquista,223,3,"1,35%"
142,2025-03,soldador,160,3,"1,87%"
143,2025-03,front_atendimento,529,21,"3,97%"
144,2025-03,consultor_tecnico,296,4,"1,35%"
145,2025-03,motorista_campo,298,12,"4,03%"
146,2025-03,organizador_patio,266,8,"3,01%"
147,2025-03,lider_area,318,5,"1,57%"
148,2025-03,lider_geral,148,3,"2,03%"
149,2025-03,operacional_total,3035,91,"3,00%"
150,2025-04,mecanico,765,19,"2,48%"
151,2025-04,estoquista,220,11,"5,00%"
152,2025-04,soldador,157,6,"3,82%"
153,2025-04,front_atendimento,508,19,"3,74%"
154,2025-04,consultor_tecnico,292,5,"1,71%"
155,2025-04,motorista_campo,286,11,"3,85%"
156,2025-04,organizador_patio,258,6,"2,33%"
157,2025-04,lider_area,313,8,"2,56%"
158,2025-04,lider_geral,145,2,"1,38%"
159,2025-04,operacional_total,2944,87,"2,96%"
160,2025-05,mecanico,746,16,"2,14%"
161,2025-05,estoquista,209,6,"2,87%"
162,2025-05,soldador,151,4,"2,65%"
163,2025-05,front_atendimento,489,17,"3,48%"
164,2025-05,consultor_tecnico,287,7,"2,44%"
165,2025-05,motorista_campo,275,10,"3,64%"
166,2025-05,organizador_patio,252,11,"4,37%"
167,2025-05,lider_area,305,5,"1,64%"
168,2025-05,lider_geral,143,2,"1,40%"
169,2025-05,operacional_total,2857,78,"2,73%"
170,2025-06,mecanico,730,18,"2,47%"
171,2025-06,estoquista,203,4,"1,97%"
172,2025-06,soldador,147,5,"3,40%"
173,2025-06,front_atendimento,472,11,"2,33%"
174,2025-06,consultor_tecnico,280,11,"3,93%"
175,2025-06,motorista_campo,265,16,"6,04%"
176,2025-06,organizador_patio,241,12,"4,98%"
177,2025-06,lider_area,300,7,"2,33%"
178,2025-06,lider_geral,141,1,"0,71%"
179,2025-06,operacional_total,2779,85,"3,06%"
