,employee_id,cidade,cargo,lider_id,turno,salario_base,data_admissao,data_demissao,motivo_saida,faixa_preta_certificado,data_certificacao,nota_desempenho,faltas_trim,tempo_de_casa_meses
26,E100026,São Paulo,estoquista,L004,tarde," R$ 2.259,00 ",2024-05-25,2025-02-28,pedido,False,,"3,91",1,9
27,E100027,Maceió,mecanico,L031,noite," R$ 2.929,00 ",2023-08-24,2025-06-30,desempenho,True,2025-03-11,"2,93",4,22
28,E100028,Maceió,motorista_campo,L054,manha," R$ 2.998,00 ",2023-10-07,2024-08-31,pedido,False,,"3,4",2,10
29,E100029,Belém,consultor_tecnico,L037,tarde," R$ 3.343,00 ",2024-01-31,2024-05-31,pedido,False,,"2,88",1,4
30,E100030,Rio de Janeiro,mecanico,L051,tarde," R$ 3.175,00 ",2024-03-19,2024-05-31,outros,False,,"3,71",4,2
31,E100031,Brasília,front_atendimento,L016,manha," R$ 2.383,00 ",2023-11-11,2024-07-31,pedido,False,,"3,98",1,8
32,E100032,Natal,organizador_patio,L048,manha," R$ 2.277,00 ",2023-09-12,2025-05-31,pedido,False,,"3,53",0,20
33,E100033,Florianópolis,estoquista,L017,tarde," R$ 2.673,00 ",2023-07-10,2024-10-31,outros,False,,"2,45",1,15
34,E100034,Maceió,front_atendimento,L002,tarde," R$ 2.272,00 ",2023-10-05,,Desconhecido,False,,"3,41",2,20
35,E100035,Vitória,consultor_tecnico,L044,tarde," R$ 3.234,00 ",2023-10-19,2024-04-30,desempenho,False,,"2,03",1,6
36,E100036,Goiânia,front_atendimento,L038,noite," R$ 2.391,00 ",2023-09-24,2025-04-30,pedido,False,,"2,84",0,19
37,E100037,Porto Alegre,consultor_tecnico,L050,noite," R$ 2.825,00 ",2023-12-25,,Desconhecido,False,,"4,05",2,18
38,E100038,Porto Alegre,lider_geral,L032,manha," R$ 8.526,00 ",2023-08-10,,Desconhecido,False,,"2,82",1,22
39,E100039,Campinas,motorista_campo,L026,noite," R$ 3.025,00 ",2024-02-07,2024-03-31,transferencia,False,,"2,06",2,1
40,E100040,São Luís,consultor_tecnico,L046,tarde," R$ 3.413,00 ",2024-06-12,,Desconhecido,False,,"2,88",4,12
41,E100041,Natal,estoquista,L044,manha," R$ 2.398,00 ",2024-03-15,2024-06-30,pedido,False,,"3,44",4,3
42,E100042,Florianópolis,estoquista,L002,manha," R$ 2.479,00 ",2024-05-03,,Desconhecido,False,,"3,53",3,13
43,E100043,São Luís,motorista_campo,L023,manha," R$ 2.978,00 ",2023-10-06,,Desconhecido,False,,"3,38",5,20
44,E100044,Manaus,front_atendimento,L009,tarde," R$ 2.249,00 ",2024-03-13,,Desconhecido,False,,"3,56",4,15
45,E100045,Recife,front_atendimento,L040,manha," R$ 2.294,00 ",2024-01-27,2024-07-31,desempenho,False,,"3,09",2,6
46,E100046,Uberlândia,organizador_patio,L029,noite," R$ 2.363,00 ",2024-02-02,2025-03-31,pedido,False,,"3,51",2,13
47,E100047,Brasília,mecanico,L032,tarde," R$ 3.603,00 ",2024-01-14,,Desconhecido,False,,"3,43",0,17
48,E100048,São Paulo,front_atendimento,L002,manha," R$ 2.303,00 ",2023-07-07,,Desconhecido,False,,"4,19",1,23
49,E100049,Rio de Janeiro,front_atendimento,L001,manha," R$ 2.381,00 ",2024-03-30,2024-06-30,desempenho,False,,"3,59",3,3
50,E100050,Florianópolis,lider_area,L030,tarde," R$ 6.044,00 ",2023-11-20,,Desconhecido,False,,"2,72",3,19
51,E100051,Campinas,estoquista,L024,tarde," R$ 2.853,00 ",2023-11-25,,Desconhecido,False,,"3,07",1,19
52,E100052,Curitiba,mecanico,L053,tarde," R$ 3.440,00 ",2023-09-08,,Desconhecido,False,,"2,78",4,21
53,E100053,Belém,mecanico,L055,manha," R$ 3.234,00 ",2024-04-04,,Desconhecido,False,,"3,85",3,14
54,E100054,Salvador,estoquista,L034,manha," R$ 2.269,00 ",2024-05-18,2024-07-31,pedido,False,,"2,89",3,2
55,E100055,Brasília,consultor_tecnico,L032,tarde," R$ 3.483,00 ",2023-12-26,,Desconhecido,False,,"3,6",1,18
56,E100056,São Luís,lider_geral,L055,manha," R$ 9.603,00 ",2023-12-10,,Desconhecido,False,,"3,67",6,18
57,E100057,São Paulo,front_atendimento,L024,tarde," R$ 2.288,00 ",2023-09-10,2024-05-31,pedido,False,,"4,07",3,8
58,E100058,São Paulo,lider_geral,L056,tarde," R$ 7.831,00 ",2023-09-23,,Desconhecido,False,,"3,35",5,21
59,E100059,Campinas,mecanico,L039,manha," R$ 3.324,00 ",2024-04-22,,Desconhecido,True,2025-03-29,"4,91",2,14
60,E100060,Recife,mecanico,L055,tarde," R$ 3.131,00 ",2023-07-21,,Desconhecido,False,,"3,86",2,23
61,E100061,Ribeirão Preto,lider_area,L024,manha," R$ 5.362,00 ",2023-07-03,2024-01-31,pedido,False,,"3,03",0,6
62,E100062,Uberlândia,motorista_campo,L023,manha," R$ 3.097,00 ",2023-10-23,,Desconhecido,False,,"3,47",1,20
63,E100063,Fortaleza,mecanico,L048,manha," R$ 3.144,00 ",2024-06-26,,Desconhecido,False,,"3,22",3,12
64,E100064,Fortaleza,front_atendimento,L011,tarde," R$ 2.247,00 ",2023-07-11,,Desconhecido,False,,"3,96",3,23
65,E100065,Curitiba,lider_area,L029,manha," R$ 5.968,00 ",2024-05-31,2024-08-31,desempenho,False,,"3,31",2,3
66,E100066,Salvador,consultor_tecnico,L057,manha," R$ 3.854,00 ",2024-03-13,,Desconhecido,False,,"3,54",3,15
67,E100067,Curitiba,front_atendimento,L007,tarde," R$ 2.246,00 ",2024-06-17,2025-01-31,desempenho,False,,"4,47",3,7
68,E100068,Ribeirão Preto,soldador,L052,tarde," R$ 2.952,00 ",2023-09-07,,Desconhecido,False,,"2,18",2,21
69,E100069,Brasília,mecanico,L046,tarde," R$ 3.252,00 ",2024-06-26,2025-04-30,pedido,False,,"3,54",1,10
70,E100070,Recife,motorista_campo,L056,noite," R$ 3.086,00 ",2023-11-29,2024-08-31,pedido,False,,"4,46",0,9
71,E100071,Manaus,mecanico,L041,manha," R$ 3.370,00 ",2024-05-07,2024-11-30,outros,False,,"2,98",0,6
72,E100072,Vitória,front_atendimento,L056,tarde," R$ 2.300,00 ",2024-03-28,,Desconhecido,False,,"2,43",2,15
73,E100073,Vitória,motorista_campo,L027,tarde," R$ 3.001,00 ",2024-04-10,,Desconhecido,False,,"4,24",2,14
74,E100074,Rio de Janeiro,mecanico,L014,noite," R$ 3.211,00 ",2024-02-04,,Desconhecido,False,,"2,93",1,16
75,E100075,Rio de Janeiro,motorista_campo,L002,tarde," R$ 2.965,00 ",2023-08-23,2024-01-31,transferencia,False,,"3,36",2,5
76,E100076,Salvador,motorista_campo,L049,tarde," R$ 2.786,00 ",2023-08-01,2024-03-31,outros,False,,"3,19",3,7
77,E100077,Florianópolis,motorista_campo,L057,noite," R$ 2.582,00 ",2023-11-03,,Desconhecido,False,,"2,46",1,19
78,E100078,Natal,front_atendimento,L011,manha," R$ 2.184,00 ",2023-09-30,2025-04-30,outros,False,,4,4,19
79,E100079,Belém,organizador_patio,L046,noite," R$ 2.153,00 ",2024-03-31,,Desconhecido,False,,5,1,15
80,E100080,Vitória,mecanico,L050,manha," R$ 2.925,00 ",2024-03-24,,Desconhecido,False,,"3,02",3,15
81,E100081,Porto Alegre,front_atendimento,L009,manha," R$ 2.379,00 ",2023-12-06,,Desconhecido,False,,"3,37",5,18
82,E100082,Goiânia,consultor_tecnico,L025,tarde," R$ 3.255,00 ",2024-04-12,2024-10-31,pedido,False,,"2,48",0,6
83,E100083,Manaus,mecanico,L049,noite," R$ 3.393,00 ",2024-03-04,2024-10-31,pedido,False,,"3,23",4,7
84,E100084,Curitiba,mecanico,L058,manha," R$ 2.953,00 ",2023-09-21,2024-07-31,pedido,False,,"3,78",3,10
85,E100085,Natal,mecanico,L036,manha," R$ 2.801,00 ",2024-04-13,,Desconhecido,False,,"2,89",1,14
86,E100086,Ribeirão Preto,motorista_campo,L028,noite," R$ 2.880,00 ",2023-08-27,,Desconhecido,False,,"3,46",1,22
87,E100087,Recife,front_atendimento,L033,tarde," R$ 2.378,00 ",2024-05-09,2024-06-30,pedido,False,,"3,73",1,1
88,E100088,Salvador,organizador_patio,L022,manha," R$ 2.398,00 ",2023-12-24,,Desconhecido,False,,"2,41",4,18
89,E100089,Rio de Janeiro,estoquista,L057,manha," R$ 2.532,00 ",2023-09-01,,Desconhecido,False,,"2,15",2,21
90,E100090,Belo Horizonte,estoquista,L056,noite," R$ 2.407,00 ",2024-05-10,,Desconhecido,False,,"4,55",2,13
91,E100091,Manaus,motorista_campo,L024,noite," R$ 2.901,00 ",2024-01-31,,Desconhecido,False,,"4,41",2,17
92,E100092,Fortaleza,mecanico,L055,manha," R$ 2.948,00 ",2023-11-28,,Desconhecido,True,2025-01-17,"4,16",1,19
93,E100093,Belém,lider_geral,L019,manha," R$ 8.051,00 ",2023-12-06,,Desconhecido,False,,"3,45",5,18
94,E100094,Manaus,consultor_tecnico,L037,tarde," R$ 3.560,00 ",2024-04-10,2024-09-30,outros,False,,"3,28",3,5
95,E100095,São Paulo,lider_area,L023,manha," R$ 5.363,00 ",2024-01-11,,Desconhecido,False,,"4,71",6,17
96,E100096,Goiânia,mecanico,L017,manha," R$ 3.076,00 ",2023-09-25,,Desconhecido,False,,"3,1",0,21
97,E100097,Natal,front_atendimento,L020,manha," R$ 2.299,00 ",2023-09-15,2024-02-29,pedido,False,,"3,13",2,5
98,E100098,Uberlândia,front_atendimento,L020,manha," R$ 2.168,00 ",2024-04-30,,Desconhecido,False,,"3,26",0,14
99,E100099,São Paulo,organizador_patio,L033,manha," R$ 2.439,00 ",2023-07-16,,Desconhecido,False,,"3,02",2,23
100,E100100,Curitiba,mecanico,L015,manha," R$ 3.207,00 ",2024-02-02,2025-04-30,pedido,False,,"3,21",0,14
101,E100101,Recife,estoquista,L005,noite," R$ 2.501,00 ",2024-06-10,2025-06-30,desempenho,False,,"3,23",1,12
102,E100102,Curitiba,organizador_patio,L038,manha," R$ 2.285,00 ",2024-03-21,,Desconhecido,False,,"2,98",0,15
103,E100103,Florianópolis,front_atendimento,L018,tarde," R$ 2.538,00 ",2024-02-20,2025-06-30,pedido,False,,"2,42",2,16
104,E100104,São Paulo,organizador_patio,L004,manha," R$ 2.417,00 ",2023-07-23,,Desconhecido,False,,"4,23",1,23
105,E100105,Fortaleza,mecanico,L040,manha," R$ 3.487,00 ",2023-10-06,2024-02-29,justa_causa,False,,"2,81",1,4
106,E100106,Recife,soldador,L022,manha," R$ 3.008,00 ",2023-12-10,,Desconhecido,False,,"4,17",2,18
107,E100107,Florianópolis,motorista_campo,L024,noite," R$ 2.755,00 ",2024-01-13,,Desconhecido,False,,"4,64",2,17
108,E100108,Porto Alegre,mecanico,L020,manha," R$ 3.483,00 ",2024-05-04,2024-06-30,desempenho,True,2025-02-13,"3,77",2,1
109,E100109,Goiânia,lider_geral,L045,tarde," R$ 8.906,00 ",2023-09-28,,Desconhecido,False,,"2,06",1,21
110,E100110,Vitória,mecanico,L042,manha," R$ 3.326,00 ",2024-03-08,2024-12-31,pedido,False,,"2,55",1,9
111,E100111,Manaus,mecanico,L013,tarde," R$ 3.383,00 ",2024-02-29,2024-04-30,desempenho,False,,4,5,2
112,E100112,Uberlândia,lider_area,L010,tarde," R$ 5.786,00 ",2023-10-10,,Desconhecido,False,,"2,82",2,20
113,E100113,Ribeirão Preto,motorista_campo,L016,tarde," R$ 3.174,00 ",2023-12-26,,Desconhecido,False,,"4,1",0,18
114,E100114,Recife,lider_area,L022,noite," R$ 4.846,00 ",2023-10-20,2024-11-30,pedido,False,,"3,96",3,13
115,E100115,São Paulo,motorista_campo,L025,tarde," R$ 3.187,00 ",2024-03-26,2025-01-31,pedido,False,,"4,55",0,10
116,E100116,Manaus,organizador_patio,L010,tarde," R$ 2.439,00 ",2023-11-03,2024-02-29,pedido,False,,"4,03",5,3
117,E100117,Curitiba,consultor_tecnico,L026,tarde," R$ 3.366,00 ",2024-02-13,2025-05-31,pedido,False,,"4,11",3,15
118,E100118,Brasília,front_atendimento,L023,noite," R$ 2.540,00 ",2024-06-06,,Desconhecido,False,,"4,08",2,12
119,E100119,Recife,mecanico,L034,manha," R$ 3.502,00 ",2023-10-21,2024-10-31,pedido,False,,"3,61",2,12
120,E100120,Uberlândia,motorista_campo,L046,manha," R$ 2.991,00 ",2024-03-06,2024-06-30,pedido,False,,"2,1",3,3
121,E100121,Vitória,mecanico,L022,noite," R$ 3.172,00 ",2023-07-07,,Desconhecido,False,,"4,16",1,23
122,E100122,Recife,front_atendimento,L060,tarde," R$ 2.251,00 ",2023-12-27,2025-01-31,pedido,False,,"2,77",1,13
123,E100123,Rio de Janeiro,motorista_campo,L005,tarde," R$ 3.190,00 ",2023-12-23,2024-01-31,transferencia,False,,"3,89",2,1
124,E100124,Porto Alegre,front_atendimento,L048,tarde," R$ 2.166,00 ",2024-03-09,,Desconhecido,False,,"2,29",2,15
125,E100125,Natal,mecanico,L018,tarde," R$ 3.077,00 ",2024-05-01,2024-02-29,pedido,False,,"4,67",2,0
126,E100126,São Luís,motorista_campo,L055,manha," R$ 2.953,00 ",2024-03-19,2024-08-31,transferencia,False,,"3,07",3,5
127,E100127,Campinas,front_atendimento,L019,manha," R$ 2.445,00 ",2024-01-08,2024-02-29,pedido,False,,"2,74",3,1
128,E100128,Vitória,estoquista,L034,manha," R$ 2.366,00 ",2023-07-13,,Desconhecido,False,,"4,26",1,23
129,E100129,Belo Horizonte,consultor_tecnico,L010,tarde," R$ 3.210,00 ",2024-01-28,2025-01-31,pedido,False,,"3,5",2,12
130,E100130,São Paulo,organizador_patio,L021,manha," R$ 2.310,00 ",2023-09-16,,Desconhecido,False,,3,2,21
131,E100131,Rio de Janeiro,lider_geral,L036,manha," R$ 8.942,00 ",2023-12-30,,Desconhecido,False,,"4,76",0,18
132,E100132,Rio de Janeiro,motorista_campo,L013,tarde," R$ 2.897,00 ",2023-11-19,2024-07-31,pedido,False,,"3,35",4,8
133,E100133,Goiânia,mecanico,L060,manha," R$ 2.946,00 ",2023-08-02,2024-08-31,pedido,False,,"3,89",0,12
134,E100134,Recife,mecanico,L060,manha," R$ 3.159,00 ",2023-10-22,,Desconhecido,False,,"3,54",2,20
135,E100135,São Luís,front_atendimento,L052,tarde," R$ 2.239,00 ",2023-09-15,,Desconhecido,False,,"3,29",5,21
136,E100136,Florianópolis,organizador_patio,L050,tarde," R$ 2.383,00 ",2024-03-25,,Desconhecido,False,,"2,66",3,15
137,E100137,Brasília,mecanico,L002,tarde," R$ 2.869,00 ",2024-06-12,,Desconhecido,False,,"3,61",1,12
138,E100138,Belém,soldador,L013,tarde," R$ 2.975,00 ",2023-12-01,2025-05-31,transferencia,False,,"3,87",1,17
139,E100139,Ribeirão Preto,lider_area,L056,tarde," R$ 5.238,00 ",2023-08-27,,Desconhecido,False,,"3,64",2,22
140,E100140,Belo Horizonte,organizador_patio,L012,manha," R$ 2.233,00 ",2024-01-20,2024-08-31,desempenho,False,,"3,46",4,7
141,E100141,Fortaleza,front_atendimento,L038,noite," R$ 2.371,00 ",2024-06-13,2024-01-31,outros,False,,"2,91",1,0
142,E100142,Vitória,mecanico,L018,manha," R$ 2.837,00 ",2024-03-25,,Desconhecido,False,,"2,65",2,15
143,E100143,Belém,motorista_campo,L040,manha," R$ 3.243,00 ",2024-04-27,2025-03-31,pedido,False,,"3,88",3,11
144,E100144,Ribeirão Preto,front_atendimento,L055,manha," R$ 2.349,00 ",2023-08-11,2025-03-31,pedido,False,,"3,97",2,19
145,E100145,Porto Alegre,consultor_tecnico,L044,manha," R$ 3.085,00 ",2024-01-01,,Desconhecido,False,,"2,6",1,17
146,E100146,Maceió,mecanico,L032,tarde," R$ 2.846,00 ",2024-01-03,2024-04-30,pedido,True,2025-03-20,"3,38",5,3
147,E100147,Belo Horizonte,lider_area,L033,tarde," R$ 5.610,00 ",2023-11-08,2024-04-30,desempenho,False,,"3,29",2,5
148,E100148,Maceió,consultor_tecnico,L007,noite," R$ 3.680,00 ",2024-04-29,,Desconhecido,False,,"2,75",0,14
149,E100149,Maceió,motorista_campo,L006,manha," R$ 3.226,00 ",2024-04-10,2024-01-31,desempenho,False,,"3,19",2,0
150,E100150,Vitória,motorista_campo,L016,tarde," R$ 3.352,00 ",2024-04-14,,Desconhecido,False,,"3,72",2,14
151,E100151,Maceió,mecanico,L005,tarde," R$ 3.294,00 ",2024-04-03,,Desconhecido,False,,"4,51",1,14
152,E100152,Natal,organizador_patio,L008,tarde," R$ 2.197,00 ",2024-04-23,,Desconhecido,False,,"3,7",2,14
153,E100153,Manaus,lider_geral,L019,tarde," R$ 8.135,00 ",2023-09-18,,Desconhecido,False,,"4,7",4,21
154,E100154,Vitória,estoquista,L026,tarde," R$ 2.581,00 ",2023-07-05,,Desconhecido,False,,"3,87",8,23
155,E100155,Manaus,mecanico,L049,tarde," R$ 3.333,00 ",2024-03-24,2024-06-30,justa_causa,False,,"2,62",2,3
156,E100156,Maceió,estoquista,L007,tarde," R$ 2.347,00 ",2024-02-19,2024-05-31,pedido,False,,"3,19",1,3
157,E100157,Belém,mecanico,L014,noite," R$ 3.341,00 ",2024-06-19,,Desconhecido,False,,"2,11",4,12
158,E100158,Fortaleza,motorista_campo,L031,manha," R$ 2.753,00 ",2024-04-19,,Desconhecido,False,,"3,76",3,14
159,E100159,Rio de Janeiro,motorista_campo,L046,noite," R$ 3.065,00 ",2024-01-05,2024-03-31,desempenho,False,,"4,79",1,2
160,E100160,São Paulo,mecanico,L020,tarde," R$ 3.300,00 ",2023-08-28,,Desconhecido,True,2025-02-01,"3,22",3,22
161,E100161,Florianópolis,motorista_campo,L050,manha," R$ 3.217,00 ",2023-11-27,2024-08-31,pedido,False,,"4,1",1,9
162,E100162,São Paulo,mecanico,L031,tarde," R$ 3.010,00 ",2023-09-27,,Desconhecido,True,2025-03-23,"2,16",2,21
163,E100163,Fortaleza,mecanico,L034,manha," R$ 3.226,00 ",2023-11-09,,Desconhecido,True,2025-02-04,"2,78",1,19
164,E100164,Goiânia,mecanico,L054,tarde," R$ 3.304,00 ",2023-10-25,,Desconhecido,True,2025-01-15,"4,25",0,20
165,E100165,Porto Alegre,mecanico,L005,manha," R$ 3.434,00 ",2024-06-09,,Desconhecido,True,2025-01-24,"2,94",4,12
166,E100166,Maceió,consultor_tecnico,L031,manha," R$ 3.575,00 ",2024-01-01,,Desconhecido,False,,"3,22",2,17
167,E100167,Belo Horizonte,front_atendimento,L039,manha," R$ 2.332,00 ",2023-12-06,,Desconhecido,False,,"2,68",2,18
168,E100168,Salvador,mecanico,L049,tarde," R$ 3.403,00 ",2023-09-01,2025-01-31,desempenho,True,2025-03-13,"4,55",1,16
169,E100169,Campinas,front_atendimento,L052,tarde," R$ 2.233,00 ",2024-01-18,,Desconhecido,False,,5,2,17
170,E100170,São Luís,front_atendimento,L037,tarde," R$ 2.384,00 ",2023-11-07,,Desconhecido,False,,"4,04",2,19
171,E100171,Manaus,mecanico,L030,tarde," R$ 2.972,00 ",2023-07-20,2024-07-31,outros,False,,"3,05",2,12
172,E100172,Florianópolis,mecanico,L053,manha," R$ 3.684,00 ",2024-05-02,2024-03-31,transferencia,False,,"3,33",0,0
173,E100173,Brasília,consultor_tecnico,L027,tarde," R$ 3.576,00 ",2024-02-11,,Desconhecido,False,,"4,26",4,16
174,E100174,Brasília,mecanico,L051,tarde," R$ 3.140,00 ",2023-10-27,2024-05-31,justa_causa,True,2025-03-17,"3,37",1,7
175,E100175,Florianópolis,estoquista,L041,manha," R$ 2.518,00 ",2024-04-19,2025-04-30,desempenho,False,,"3,35",1,12
176,E100176,Natal,lider_area,L057,manha," R$ 5.725,00 ",2024-01-30,,Desconhecido,False,,"2,64",1,17
177,E100177,Rio de Janeiro,mecanico,L007,manha," R$ 3.530,00 ",2024-03-28,,Desconhecido,False,,"3,79",2,15
178,E100178,Goiânia,mecanico,L056,manha," R$ 3.312,00 ",2023-11-12,,Desconhecido,False,,"4,05",4,19
179,E100179,Recife,mecanico,L002,noite," R$ 3.446,00 ",2024-05-02,2024-11-30,outros,False,,"3,31",2,6
180,E100180,Natal,lider_geral,L051,noite," R$ 8.406,00 ",2023-11-18,,Desconhecido,False,,"2,86",1,19
181,E100181,Recife,mecanico,L008,manha," R$ 3.301,00 ",2024-01-10,,Desconhecido,False,,"4,14",1,17
182,E100182,Manaus,motorista_campo,L007,manha," R$ 3.031,00 ",2023-11-17,,Desconhecido,False,,"3,92",1,19
183,E100183,Brasília,lider_area,L033,tarde," R$ 5.820,00 ",2023-07-24,2025-04-30,outros,False,,"4,68",2,21
184,E100184,Natal,mecanico,L006,manha," R$ 3.260,00 ",2024-05-15,,Desconhecido,True,2025-03-26,"3,56",3,13
185,E100185,Curitiba,motorista_campo,L051,manha," R$ 3.115,00 ",2023-08-06,,Desconhecido,False,,"3,56",1,22
186,E100186,São Luís,front_atendimento,L018,tarde," R$ 2.184,00 ",2023-11-12,2025-01-31,pedido,False,,"2,94",3,14
187,E100187,São Paulo,mecanico,L013,noite," R$ 3.022,00 ",2023-12-02,2024-01-31,justa_causa,True,2025-02-14,"3,45",0,1
188,E100188,Uberlândia,organizador_patio,L004,tarde," R$ 2.359,00 ",2024-05-01,,Desconhecido,False,,"3,23",2,13
189,E100189,Curitiba,mecanico,L022,tarde," R$ 3.030,00 ",2023-09-19,,Desconhecido,True,2025-03-17,"4,03",2,21
190,E100190,Porto Alegre,mecanico,L018,manha," R$ 2.965,00 ",2024-01-19,,Desconhecido,True,2025-01-27,"3,16",1,17
191,E100191,Recife,consultor_tecnico,L027,tarde," R$ 3.507,00 ",2024-04-21,,Desconhecido,False,,"3,11",0,14
192,E100192,Campinas,lider_geral,L039,tarde," R$ 7.626,00 ",2024-03-28,2024-09-30,desempenho,False,,"3,07",2,6
193,E100193,Fortaleza,mecanico,L020,manha," R$ 3.055,00 ",2024-05-24,,Desconhecido,False,,2,3,13
194,E100194,São Luís,front_atendimento,L056,tarde," R$ 2.349,00 ",2024-06-22,,Desconhecido,False,,"3,41",4,12
195,E100195,Natal,mecanico,L038,tarde," R$ 3.435,00 ",2024-04-29,,Desconhecido,True,2025-01-28,"3,38",0,14
196,E100196,Florianópolis,lider_area,L002,tarde," R$ 5.757,00 ",2024-02-28,,Desconhecido,False,,"2,25",3,16
197,E100197,Natal,soldador,L005,tarde," R$ 3.152,00 ",2024-03-29,2024-10-31,justa_causa,False,,"3,25",1,7
198,E100198,São Luís,mecanico,L056,manha," R$ 3.286,00 ",2024-01-30,2025-01-31,pedido,True,2025-02-23,"2,84",1,12
199,E100199,Belo Horizonte,motorista_campo,L005,manha," R$ 2.954,00 ",2023-11-22,,Desconhecido,False,,"3,25",2,19
200,E100200,Ribeirão Preto,mecanico,L013,manha," R$ 2.952,00 ",2024-04-24,2024-02-29,pedido,True,2025-01-29,"2,67",2,0
201,E100201,Maceió,mecanico,L019,manha," R$ 3.200,00 ",2023-11-02,,Desconhecido,False,,"4,44",0,19
202,E100202,Campinas,mecanico,L051,tarde," R$ 2.913,00 ",2023-11-10,2025-03-31,pedido,False,,"4,64",3,16
203,E100203,Florianópolis,soldador,L056,manha," R$ 3.115,00 ",2024-03-29,2025-02-28,desempenho,False,,"4,16",2,11
204,E100204,Recife,motorista_campo,L044,manha," R$ 2.879,00 ",2024-01-25,,Desconhecido,False,,"3,65",3,17
205,E100205,Belo Horizonte,front_atendimento,L035,manha," R$ 2.256,00 ",2023-08-19,,Desconhecido,False,,"4,66",0,22
206,E100206,Belo Horizonte,front_atendimento,L014,tarde," R$ 2.456,00 ",2024-04-23,,Desconhecido,False,,"3,38",0,14
207,E100207,Recife,front_atendimento,L046,tarde," R$ 2.448,00 ",2023-08-28,2024-08-31,outros,False,,"4,92",0,12
208,E100208,Porto Alegre,mecanico,L060,tarde," R$ 2.923,00 ",2024-05-10,2024-05-31,outros,False,,"2,38",1,0
209,E100209,Uberlândia,mecanico,L027,noite," R$ 2.928,00 ",2023-11-16,2024-09-30,desempenho,True,2025-03-10,"4,26",3,10
210,E100210,Florianópolis,front_atendimento,L058,tarde," R$ 2.266,00 ",2024-01-16,,Desconhecido,False,,5,0,17
