employee_id;cidade;cargo;lider_id;turno;salario_base;data_admissao;data_demissao;motivo_saida;faixa_preta_certificado;data_certificacao;nota_desempenho;faltas_trim;tempo_de_casa_meses
E100019;Rio de Janeiro;front_atendimento;L015;noite;" R$ 2.184,00 ";13/11/2023;;;FALSE;;"3,14";7;19
E100020;Recife;motorista_campo;L051;noite;" R$ 3.198,00 ";08/04/2024;;;FALSE;;"2,31";2;14
E100021;Florianópolis;mecanico;L034;tarde;" R$ 3.547,00 ";11/01/2024;;;TRUE;31/01/2025;"3,73";6;17
E100022;Recife;front_atendimento;L011;noite;" R$ 2.172,00 ";30/10/2023;;;FALSE;;"2,64";4;20
E100023;Natal;mecanico;L002;manha;" R$ 3.406,00 ";07/02/2024;;;FALSE;;"3,22";4;16
E100024;Curitiba;mecanico;L001;tarde;" R$ 3.152,00 ";01/01/2024;31/10/2024;pedido;FALSE;;"4,4";2;9
E100025;Uberlândia;front_atendimento;L018;tarde;" R$ 2.192,00 ";15/05/2024;;;FALSE;;"3,59";1;13
E100026;São Paulo;estoquista;L004;tarde;" R$ 2.259,00 ";25/05/2024;28/02/2025;pedido;FALSE;;"3,91";1;9
E100027;Maceió;mecanico;L031;noite;" R$ 2.929,00 ";24/08/2023;30/06/2025;desempenho;TRUE;11/03/2025;"2,93";4;22
E100028;Maceió;motorista_campo;L054;manha;" R$ 2.998,00 ";07/10/2023;31/08/2024;pedido;FALSE;;"3,4";2;10
E100029;Belém;consultor_tecnico;L037;tarde;" R$ 3.343,00 ";31/01/2024;31/05/2024;pedido;FALSE;;"2,88";1;4
E100030;Rio de Janeiro;mecanico;L051;tarde;" R$ 3.175,00 ";19/03/2024;31/05/2024;outros;FALSE;;"3,71";4;2
E100031;Brasília;front_atendimento;L016;manha;" R$ 2.383,00 ";11/11/2023;31/07/2024;pedido;FALSE;;"3,98";1;8
E100032;Natal;organizador_patio;L048;manha;" R$ 2.277,00 ";12/09/2023;31/05/2025;pedido;FALSE;;"3,53";0;20
E100033;Florianópolis;estoquista;L017;tarde;" R$ 2.673,00 ";10/07/2023;31/10/2024;outros;FALSE;;"2,45";1;15
E100034;Maceió;front_atendimento;L002;tarde;" R$ 2.272,00 ";05/10/2023;;;FALSE;;"3,41";2;20
E100035;Vitória;consultor_tecnico;L044;tarde;" R$ 3.234,00 ";19/10/2023;30/04/2024;desempenho;FALSE;;"2,03";1;6
E100036;Goiânia;front_atendimento;L038;noite;" R$ 2.391,00 ";24/09/2023;30/04/2025;pedido;FALSE;;"2,84";0;19
E100037;Porto Alegre;consultor_tecnico;L050;noite;" R$ 2.825,00 ";25/12/2023;;;FALSE;;"4,05";2;18
E100038;Porto Alegre;lider_geral;L032;manha;" R$ 8.526,00 ";10/08/2023;;;FALSE;;"2,82";1;22
E100039;Campinas;motorista_campo;L026;noite;" R$ 3.025,00 ";07/02/2024;31/03/2024;transferencia;FALSE;;"2,06";2;1
E100040;São Luís;consultor_tecnico;L046;tarde;" R$ 3.413,00 ";12/06/2024;;;FALSE;;"2,88";4;12
E100041;Natal;estoquista;L044;manha;" R$ 2.398,00 ";15/03/2024;30/06/2024;pedido;FALSE;;"3,44";4;3
E100042;Florianópolis;estoquista;L002;manha;" R$ 2.479,00 ";03/05/2024;;;FALSE;;"3,53";3;13
E100043;São Luís;motorista_campo;L023;manha;" R$ 2.978,00 ";06/10/2023;;;FALSE;;"3,38";5;20
E100044;Manaus;front_atendimento;L009;tarde;" R$ 2.249,00 ";13/03/2024;;;FALSE;;"3,56";4;15
E100045;Recife;front_atendimento;L040;manha;" R$ 2.294,00 ";27/01/2024;31/07/2024;desempenho;FALSE;;"3,09";2;6
E100046;Uberlândia;organizador_patio;L029;noite;" R$ 2.363,00 ";02/02/2024;31/03/2025;pedido;FALSE;;"3,51";2;13
E100047;Brasília;mecanico;L032;tarde;" R$ 3.603,00 ";14/01/2024;;;FALSE;;"3,43";0;17
E100048;São Paulo;front_atendimento;L002;manha;" R$ 2.303,00 ";07/07/2023;;;FALSE;;"4,19";1;23
E100049;Rio de Janeiro;front_atendimento;L001;manha;" R$ 2.381,00 ";30/03/2024;30/06/2024;desempenho;FALSE;;"3,59";3;3
E100050;Florianópolis;lider_area;L030;tarde;" R$ 6.044,00 ";20/11/2023;;;FALSE;;"2,72";3;19
E100051;Campinas;estoquista;L024;tarde;" R$ 2.853,00 ";25/11/2023;;;FALSE;;"3,07";1;19
E100052;Curitiba;mecanico;L053;tarde;" R$ 3.440,00 ";08/09/2023;;;FALSE;;"2,78";4;21
E100053;Belém;mecanico;L055;manha;" R$ 3.234,00 ";04/04/2024;;;FALSE;;"3,85";3;14
E100054;Salvador;estoquista;L034;manha;" R$ 2.269,00 ";18/05/2024;31/07/2024;pedido;FALSE;;"2,89";3;2
E100055;Brasília;consultor_tecnico;L032;tarde;" R$ 3.483,00 ";26/12/2023;;;FALSE;;"3,6";1;18
E100056;São Luís;lider_geral;L055;manha;" R$ 9.603,00 ";10/12/2023;;;FALSE;;"3,67";6;18
E100057;São Paulo;front_atendimento;L024;tarde;" R$ 2.288,00 ";10/09/2023;31/05/2024;pedido;FALSE;;"4,07";3;8
E100058;São Paulo;lider_geral;L056;tarde;" R$ 7.831,00 ";23/09/2023;;;FALSE;;"3,35";5;21
E100059;Campinas;mecanico;L039;manha;" R$ 3.324,00 ";22/04/2024;;;TRUE;29/03/2025;"4,91";2;14
E100060;Recife;mecanico;L055;tarde;" R$ 3.131,00 ";21/07/2023;;;FALSE;;"3,86";2;23
E100061;Ribeirão Preto;lider_area;L024;manha;" R$ 5.362,00 ";03/07/2023;31/01/2024;pedido;FALSE;;"3,03";0;6
E100062;Uberlândia;motorista_campo;L023;manha;" R$ 3.097,00 ";23/10/2023;;;FALSE;;"3,47";1;20
E100063;Fortaleza;mecanico;L048;manha;" R$ 3.144,00 ";26/06/2024;;;FALSE;;"3,22";3;12
E100064;Fortaleza;front_atendimento;L011;tarde;" R$ 2.247,00 ";11/07/2023;;;FALSE;;"3,96";3;23
E100065;Curitiba;lider_area;L029;manha;" R$ 5.968,00 ";31/05/2024;31/08/2024;desempenho;FALSE;;"3,31";2;3
E100066;Salvador;consultor_tecnico;L057;manha;" R$ 3.854,00 ";13/03/2024;;;FALSE;;"3,54";3;15
E100067;Curitiba;front_atendimento;L007;tarde;" R$ 2.246,00 ";17/06/2024;31/01/2025;desempenho;FALSE;;"4,47";3;7
E100068;Ribeirão Preto;soldador;L052;tarde;" R$ 2.952,00 ";07/09/2023;;;FALSE;;"2,18";2;21
E100069;Brasília;mecanico;L046;tarde;" R$ 3.252,00 ";26/06/2024;30/04/2025;pedido;FALSE;;"3,54";1;10
E100070;Recife;motorista_campo;L056;noite;" R$ 3.086,00 ";29/11/2023;31/08/2024;pedido;FALSE;;"4,46";0;9
E100071;Manaus;mecanico;L041;manha;" R$ 3.370,00 ";07/05/2024;30/11/2024;outros;FALSE;;"2,98";0;6
E100072;Vitória;front_atendimento;L056;tarde;" R$ 2.300,00 ";28/03/2024;;;FALSE;;"2,43";2;15
E100073;Vitória;motorista_campo;L027;tarde;" R$ 3.001,00 ";10/04/2024;;;FALSE;;"4,24";2;14
E100074;Rio de Janeiro;mecanico;L014;noite;" R$ 3.211,00 ";04/02/2024;;;FALSE;;"2,93";1;16
E100075;Rio de Janeiro;motorista_campo;L002;tarde;" R$ 2.965,00 ";23/08/2023;31/01/2024;transferencia;FALSE;;"3,36";2;5
E100076;Salvador;motorista_campo;L049;tarde;" R$ 2.786,00 ";01/08/2023;31/03/2024;outros;FALSE;;"3,19";3;7
E100077;Florianópolis;motorista_campo;L057;noite;" R$ 2.582,00 ";03/11/2023;;;FALSE;;"2,46";1;19
E100078;Natal;front_atendimento;L011;manha;" R$ 2.184,00 ";30/09/2023;30/04/2025;outros;FALSE;;4;4;19
E100079;Belém;organizador_patio;L046;noite;" R$ 2.153,00 ";31/03/2024;;;FALSE;;5;1;15
E100080;Vitória;mecanico;L050;manha;" R$ 2.925,00 ";24/03/2024;;;FALSE;;"3,02";3;15
E100081;Porto Alegre;front_atendimento;L009;manha;" R$ 2.379,00 ";06/12/2023;;;FALSE;;"3,37";5;18
E100082;Goiânia;consultor_tecnico;L025;tarde;" R$ 3.255,00 ";12/04/2024;31/10/2024;pedido;FALSE;;"2,48";0;6
E100083;Manaus;mecanico;L049;noite;" R$ 3.393,00 ";04/03/2024;31/10/2024;pedido;FALSE;;"3,23";4;7
E100084;Curitiba;mecanico;L058;manha;" R$ 2.953,00 ";21/09/2023;31/07/2024;pedido;FALSE;;"3,78";3;10
E100085;Natal;mecanico;L036;manha;" R$ 2.801,00 ";13/04/2024;;;FALSE;;"2,89";1;14
E100086;Ribeirão Preto;motorista_campo;L028;noite;" R$ 2.880,00 ";27/08/2023;;;FALSE;;"3,46";1;22
E100087;Recife;front_atendimento;L033;tarde;" R$ 2.378,00 ";09/05/2024;30/06/2024;pedido;FALSE;;"3,73";1;1
E100088;Salvador;organizador_patio;L022;manha;" R$ 2.398,00 ";24/12/2023;;;FALSE;;"2,41";4;18
E100089;Rio de Janeiro;estoquista;L057;manha;" R$ 2.532,00 ";01/09/2023;;;FALSE;;"2,15";2;21
E100090;Belo Horizonte;estoquista;L056;noite;" R$ 2.407,00 ";10/05/2024;;;FALSE;;"4,55";2;13
E100091;Manaus;motorista_campo;L024;noite;" R$ 2.901,00 ";31/01/2024;;;FALSE;;"4,41";2;17
E100092;Fortaleza;mecanico;L055;manha;" R$ 2.948,00 ";28/11/2023;;;TRUE;17/01/2025;"4,16";1;19
E100093;Belém;lider_geral;L019;manha;" R$ 8.051,00 ";06/12/2023;;;FALSE;;"3,45";5;18
E100094;Manaus;consultor_tecnico;L037;tarde;" R$ 3.560,00 ";10/04/2024;30/09/2024;outros;FALSE;;"3,28";3;5
E100095;São Paulo;lider_area;L023;manha;" R$ 5.363,00 ";11/01/2024;;;FALSE;;"4,71";6;17
E100096;Goiânia;mecanico;L017;manha;" R$ 3.076,00 ";25/09/2023;;;FALSE;;"3,1";0;21
E100097;Natal;front_atendimento;L020;manha;" R$ 2.299,00 ";15/09/2023;29/02/2024;pedido;FALSE;;"3,13";2;5
E100098;Uberlândia;front_atendimento;L020;manha;" R$ 2.168,00 ";30/04/2024;;;FALSE;;"3,26";0;14
E100099;São Paulo;organizador_patio;L033;manha;" R$ 2.439,00 ";16/07/2023;;;FALSE;;"3,02";2;23
E100100;Curitiba;mecanico;L015;manha;" R$ 3.207,00 ";02/02/2024;30/04/2025;pedido;FALSE;;"3,21";0;14
E100101;Recife;estoquista;L005;noite;" R$ 2.501,00 ";10/06/2024;30/06/2025;desempenho;FALSE;;"3,23";1;12
E100102;Curitiba;organizador_patio;L038;manha;" R$ 2.285,00 ";21/03/2024;;;FALSE;;"2,98";0;15
E100103;Florianópolis;front_atendimento;L018;tarde;" R$ 2.538,00 ";20/02/2024;30/06/2025;pedido;FALSE;;"2,42";2;16
E100104;São Paulo;organizador_patio;L004;manha;" R$ 2.417,00 ";23/07/2023;;;FALSE;;"4,23";1;23
E100105;Fortaleza;mecanico;L040;manha;" R$ 3.487,00 ";06/10/2023;29/02/2024;justa_causa;FALSE;;"2,81";1;4
E100106;Recife;soldador;L022;manha;" R$ 3.008,00 ";10/12/2023;;;FALSE;;"4,17";2;18
E100107;Florianópolis;motorista_campo;L024;noite;" R$ 2.755,00 ";13/01/2024;;;FALSE;;"4,64";2;17
E100108;Porto Alegre;mecanico;L020;manha;" R$ 3.483,00 ";04/05/2024;30/06/2024;desempenho;TRUE;13/02/2025;"3,77";2;1
E100109;Goiânia;lider_geral;L045;tarde;" R$ 8.906,00 ";28/09/2023;;;FALSE;;"2,06";1;21
E100110;Vitória;mecanico;L042;manha;" R$ 3.326,00 ";08/03/2024;31/12/2024;pedido;FALSE;;"2,55";1;9
E100111;Manaus;mecanico;L013;tarde;" R$ 3.383,00 ";29/02/2024;30/04/2024;desempenho;FALSE;;4;5;2
E100112;Uberlândia;lider_area;L010;tarde;" R$ 5.786,00 ";10/10/2023;;;FALSE;;"2,82";2;20
E100113;Ribeirão Preto;motorista_campo;L016;tarde;" R$ 3.174,00 ";26/12/2023;;;FALSE;;"4,1";0;18
E100114;Recife;lider_area;L022;noite;" R$ 4.846,00 ";20/10/2023;30/11/2024;pedido;FALSE;;"3,96";3;13
E100115;São Paulo;motorista_campo;L025;tarde;" R$ 3.187,00 ";26/03/2024;31/01/2025;pedido;FALSE;;"4,55";0;10
E100116;Manaus;organizador_patio;L010;tarde;" R$ 2.439,00 ";03/11/2023;29/02/2024;pedido;FALSE;;"4,03";5;3
E100117;Curitiba;consultor_tecnico;L026;tarde;" R$ 3.366,00 ";13/02/2024;31/05/2025;pedido;FALSE;;"4,11";3;15
E100118;Brasília;front_atendimento;L023;noite;" R$ 2.540,00 ";06/06/2024;;;FALSE;;"4,08";2;12
E100119;Recife;mecanico;L034;manha;" R$ 3.502,00 ";21/10/2023;31/10/2024;pedido;FALSE;;"3,61";2;12
E100120;Uberlândia;motorista_campo;L046;manha;" R$ 2.991,00 ";06/03/2024;30/06/2024;pedido;FALSE;;"2,1";3;3
E100121;Vitória;mecanico;L022;noite;" R$ 3.172,00 ";07/07/2023;;;FALSE;;"4,16";1;23
E100122;Recife;front_atendimento;L060;tarde;" R$ 2.251,00 ";27/12/2023;31/01/2025;pedido;FALSE;;"2,77";1;13
E100123;Rio de Janeiro;motorista_campo;L005;tarde;" R$ 3.190,00 ";23/12/2023;31/01/2024;transferencia;FALSE;;"3,89";2;1
E100124;Porto Alegre;front_atendimento;L048;tarde;" R$ 2.166,00 ";09/03/2024;;;FALSE;;"2,29";2;15
E100125;Natal;mecanico;L018;tarde;" R$ 3.077,00 ";01/05/2024;29/02/2024;pedido;FALSE;;"4,67";2;0
E100126;São Luís;motorista_campo;L055;manha;" R$ 2.953,00 ";19/03/2024;31/08/2024;transferencia;FALSE;;"3,07";3;5
E100127;Campinas;front_atendimento;L019;manha;" R$ 2.445,00 ";08/01/2024;29/02/2024;pedido;FALSE;;"2,74";3;1
E100128;Vitória;estoquista;L034;manha;" R$ 2.366,00 ";13/07/2023;;;FALSE;;"4,26";1;23
E100129;Belo Horizonte;consultor_tecnico;L010;tarde;" R$ 3.210,00 ";28/01/2024;31/01/2025;pedido;FALSE;;"3,5";2;12
E100130;São Paulo;organizador_patio;L021;manha;" R$ 2.310,00 ";16/09/2023;;;FALSE;;3;2;21
E100131;Rio de Janeiro;lider_geral;L036;manha;" R$ 8.942,00 ";30/12/2023;;;FALSE;;"4,76";0;18
E100132;Rio de Janeiro;motorista_campo;L013;tarde;" R$ 2.897,00 ";19/11/2023;31/07/2024;pedido;FALSE;;"3,35";4;8
E100133;Goiânia;mecanico;L060;manha;" R$ 2.946,00 ";02/08/2023;31/08/2024;pedido;FALSE;;"3,89";0;12
E100134;Recife;mecanico;L060;manha;" R$ 3.159,00 ";22/10/2023;;;FALSE;;"3,54";2;20
E100135;São Luís;front_atendimento;L052;tarde;" R$ 2.239,00 ";15/09/2023;;;FALSE;;"3,29";5;21
E100136;Florianópolis;organizador_patio;L050;tarde;" R$ 2.383,00 ";25/03/2024;;;FALSE;;"2,66";3;15
E100137;Brasília;mecanico;L002;tarde;" R$ 2.869,00 ";12/06/2024;;;FALSE;;"3,61";1;12
E100138;Belém;soldador;L013;tarde;" R$ 2.975,00 ";01/12/2023;31/05/2025;transferencia;FALSE;;"3,87";1;17
E100139;Ribeirão Preto;lider_area;L056;tarde;" R$ 5.238,00 ";27/08/2023;;;FALSE;;"3,64";2;22
E100140;Belo Horizonte;organizador_patio;L012;manha;" R$ 2.233,00 ";20/01/2024;31/08/2024;desempenho;FALSE;;"3,46";4;7
E100141;Fortaleza;front_atendimento;L038;noite;" R$ 2.371,00 ";13/06/2024;31/01/2024;outros;FALSE;;"2,91";1;0
E100142;Vitória;mecanico;L018;manha;" R$ 2.837,00 ";25/03/2024;;;FALSE;;"2,65";2;15
E100143;Belém;motorista_campo;L040;manha;" R$ 3.243,00 ";27/04/2024;31/03/2025;pedido;FALSE;;"3,88";3;11
E100144;Ribeirão Preto;front_atendimento;L055;manha;" R$ 2.349,00 ";11/08/2023;31/03/2025;pedido;FALSE;;"3,97";2;19
E100145;Porto Alegre;consultor_tecnico;L044;manha;" R$ 3.085,00 ";01/01/2024;;;FALSE;;"2,6";1;17
E100146;Maceió;mecanico;L032;tarde;" R$ 2.846,00 ";03/01/2024;30/04/2024;pedido;TRUE;20/03/2025;"3,38";5;3
E100147;Belo Horizonte;lider_area;L033;tarde;" R$ 5.610,00 ";08/11/2023;30/04/2024;desempenho;FALSE;;"3,29";2;5
E100148;Maceió;consultor_tecnico;L007;noite;" R$ 3.680,00 ";29/04/2024;;;FALSE;;"2,75";0;14
E100149;Maceió;motorista_campo;L006;manha;" R$ 3.226,00 ";10/04/2024;31/01/2024;desempenho;FALSE;;"3,19";2;0
E100150;Vitória;motorista_campo;L016;tarde;" R$ 3.352,00 ";14/04/2024;;;FALSE;;"3,72";2;14
E100151;Maceió;mecanico;L005;tarde;" R$ 3.294,00 ";03/04/2024;;;FALSE;;"4,51";1;14
E100152;Natal;organizador_patio;L008;tarde;" R$ 2.197,00 ";23/04/2024;;;FALSE;;"3,7";2;14
E100153;Manaus;lider_geral;L019;tarde;" R$ 8.135,00 ";18/09/2023;;;FALSE;;"4,7";4;21
E100154;Vitória;estoquista;L026;tarde;" R$ 2.581,00 ";05/07/2023;;;FALSE;;"3,87";8;23
E100155;Manaus;mecanico;L049;tarde;" R$ 3.333,00 ";24/03/2024;30/06/2024;justa_causa;FALSE;;"2,62";2;3
E100156;Maceió;estoquista;L007;tarde;" R$ 2.347,00 ";19/02/2024;31/05/2024;pedido;FALSE;;"3,19";1;3
E100157;Belém;mecanico;L014;noite;" R$ 3.341,00 ";19/06/2024;;;FALSE;;"2,11";4;12
E100158;Fortaleza;motorista_campo;L031;manha;" R$ 2.753,00 ";19/04/2024;;;FALSE;;"3,76";3;14
E100159;Rio de Janeiro;motorista_campo;L046;noite;" R$ 3.065,00 ";05/01/2024;31/03/2024;desempenho;FALSE;;"4,79";1;2
E100160;São Paulo;mecanico;L020;tarde;" R$ 3.300,00 ";28/08/2023;;;TRUE;01/02/2025;"3,22";3;22
E100161;Florianópolis;motorista_campo;L050;manha;" R$ 3.217,00 ";27/11/2023;31/08/2024;pedido;FALSE;;"4,1";1;9
E100162;São Paulo;mecanico;L031;tarde;" R$ 3.010,00 ";27/09/2023;;;TRUE;23/03/2025;"2,16";2;21
E100163;Fortaleza;mecanico;L034;manha;" R$ 3.226,00 ";09/11/2023;;;TRUE;04/02/2025;"2,78";1;19
E100164;Goiânia;mecanico;L054;tarde;" R$ 3.304,00 ";25/10/2023;;;TRUE;15/01/2025;"4,25";0;20
E100165;Porto Alegre;mecanico;L005;manha;" R$ 3.434,00 ";09/06/2024;;;TRUE;24/01/2025;"2,94";4;12
E100166;Maceió;consultor_tecnico;L031;manha;" R$ 3.575,00 ";01/01/2024;;;FALSE;;"3,22";2;17
E100167;Belo Horizonte;front_atendimento;L039;manha;" R$ 2.332,00 ";06/12/2023;;;FALSE;;"2,68";2;18
E100168;Salvador;mecanico;L049;tarde;" R$ 3.403,00 ";01/09/2023;31/01/2025;desempenho;TRUE;13/03/2025;"4,55";1;16
E100169;Campinas;front_atendimento;L052;tarde;" R$ 2.233,00 ";18/01/2024;;;FALSE;;5;2;17
E100170;São Luís;front_atendimento;L037;tarde;" R$ 2.384,00 ";07/11/2023;;;FALSE;;"4,04";2;19
E100171;Manaus;mecanico;L030;tarde;" R$ 2.972,00 ";20/07/2023;31/07/2024;outros;FALSE;;"3,05";2;12
E100172;Florianópolis;mecanico;L053;manha;" R$ 3.684,00 ";02/05/2024;31/03/2024;transferencia;FALSE;;"3,33";0;0
E100173;Brasília;consultor_tecnico;L027;tarde;" R$ 3.576,00 ";11/02/2024;;;FALSE;;"4,26";4;16
E100174;Brasília;mecanico;L051;tarde;" R$ 3.140,00 ";27/10/2023;31/05/2024;justa_causa;TRUE;17/03/2025;"3,37";1;7
E100175;Florianópolis;estoquista;L041;manha;" R$ 2.518,00 ";19/04/2024;30/04/2025;desempenho;FALSE;;"3,35";1;12
E100176;Natal;lider_area;L057;manha;" R$ 5.725,00 ";30/01/2024;;;FALSE;;"2,64";1;17
E100177;Rio de Janeiro;mecanico;L007;manha;" R$ 3.530,00 ";28/03/2024;;;FALSE;;"3,79";2;15
E100178;Goiânia;mecanico;L056;manha;" R$ 3.312,00 ";12/11/2023;;;FALSE;;"4,05";4;19
E100179;Recife;mecanico;L002;noite;" R$ 3.446,00 ";02/05/2024;30/11/2024;outros;FALSE;;"3,31";2;6
E100180;Natal;lider_geral;L051;noite;" R$ 8.406,00 ";18/11/2023;;;FALSE;;"2,86";1;19
E100181;Recife;mecanico;L008;manha;" R$ 3.301,00 ";10/01/2024;;;FALSE;;"4,14";1;17
E100182;Manaus;motorista_campo;L007;manha;" R$ 3.031,00 ";17/11/2023;;;FALSE;;"3,92";1;19
E100183;Brasília;lider_area;L033;tarde;" R$ 5.820,00 ";24/07/2023;30/04/2025;outros;FALSE;;"4,68";2;21
E100184;Natal;mecanico;L006;manha;" R$ 3.260,00 ";15/05/2024;;;TRUE;26/03/2025;"3,56";3;13
E100185;Curitiba;motorista_campo;L051;manha;" R$ 3.115,00 ";06/08/2023;;;FALSE;;"3,56";1;22
E100186;São Luís;front_atendimento;L018;tarde;" R$ 2.184,00 ";12/11/2023;31/01/2025;pedido;FALSE;;"2,94";3;14
E100187;São Paulo;mecanico;L013;noite;" R$ 3.022,00 ";02/12/2023;31/01/2024;justa_causa;TRUE;14/02/2025;"3,45";0;1
E100188;Uberlândia;organizador_patio;L004;tarde;" R$ 2.359,00 ";01/05/2024;;;FALSE;;"3,23";2;13
E100189;Curitiba;mecanico;L022;tarde;" R$ 3.030,00 ";19/09/2023;;;TRUE;17/03/2025;"4,03";2;21
E100190;Porto Alegre;mecanico;L018;manha;" R$ 2.965,00 ";19/01/2024;;;TRUE;27/01/2025;"3,16";1;17
E100191;Recife;consultor_tecnico;L027;tarde;" R$ 3.507,00 ";21/04/2024;;;FALSE;;"3,11";0;14
E100192;Campinas;lider_geral;L039;tarde;" R$ 7.626,00 ";28/03/2024;30/09/2024;desempenho;FALSE;;"3,07";2;6
E100193;Fortaleza;mecanico;L020;manha;" R$ 3.055,00 ";24/05/2024;;;FALSE;;2;3;13
E100194;São Luís;front_atendimento;L056;tarde;" R$ 2.349,00 ";22/06/2024;;;FALSE;;"3,41";4;12
E100195;Natal;mecanico;L038;tarde;" R$ 3.435,00 ";29/04/2024;;;TRUE;28/01/2025;"3,38";0;14
E100196;Florianópolis;lider_area;L002;tarde;" R$ 5.757,00 ";28/02/2024;;;FALSE;;"2,25";3;16
E100197;Natal;soldador;L005;tarde;" R$ 3.152,00 ";29/03/2024;31/10/2024;justa_causa;FALSE;;"3,25";1;7
E100198;São Luís;mecanico;L056;manha;" R$ 3.286,00 ";30/01/2024;31/01/2025;pedido;TRUE;23/02/2025;"2,84";1;12
E100199;Belo Horizonte;motorista_campo;L005;manha;" R$ 2.954,00 ";22/11/2023;;;FALSE;;"3,25";2;19
E100200;Ribeirão Preto;mecanico;L013;manha;" R$ 2.952,00 ";24/04/2024;29/02/2024;pedido;TRUE;29/01/2025;"2,67";2;0
E100201;Maceió;mecanico;L019;manha;" R$ 3.200,00 ";02/11/2023;;;FALSE;;"4,44";0;19
E100202;Campinas;mecanico;L051;tarde;" R$ 2.913,00 ";10/11/2023;31/03/2025;pedido;FALSE;;"4,64";3;16
E100203;Florianópolis;soldador;L056;manha;" R$ 3.115,00 ";29/03/2024;28/02/2025;desempenho;FALSE;;"4,16";2;11
E100204;Recife;motorista_campo;L044;manha;" R$ 2.879,00 ";25/01/2024;;;FALSE;;"3,65";3;17
E100205;Belo Horizonte;front_atendimento;L035;manha;" R$ 2.256,00 ";19/08/2023;;;FALSE;;"4,66";0;22
E100206;Belo Horizonte;front_atendimento;L014;tarde;" R$ 2.456,00 ";23/04/2024;;;FALSE;;"3,38";0;14
E100207;Recife;front_atendimento;L046;tarde;" R$ 2.448,00 ";28/08/2023;31/08/2024;outros;FALSE;;"4,92";0;12
E100208;Porto Alegre;mecanico;L060;tarde;" R$ 2.923,00 ";10/05/2024;31/05/2024;outros;FALSE;;"2,38";1;0
E100209;Uberlândia;mecanico;L027;noite;" R$ 2.928,00 ";16/11/2023;30/09/2024;desempenho;TRUE;10/03/2025;"4,26";3;10
E100210;Florianópolis;front_atendimento;L058;tarde;" R$ 2.266,00 ";16/01/2024;;;FALSE;;5;0;17
E100211;Curitiba;motorista_campo;L042;manha;" R$ 2.947,00 ";07/08/2023;;;FALSE;;"2,47";2;22
E100212;Florianópolis;mecanico;L021;noite;" R$ 3.090,00 ";27/07/2023;29/02/2024;transferencia;FALSE;;"1,42";1;7
E100213;Curitiba;mecanico;L030;manha;" R$ 3.019,00 ";31/10/2023;;;FALSE;;"3,56";2;20
E100214;Salvador;lider_geral;L006;tarde;" R$ 8.515,00 ";03/05/2024;;;FALSE;;"3,12";1;13
E100215;Fortaleza;mecanico;L037;tarde;" R$ 3.438,00 ";28/12/2023;;;FALSE;;"4,09";3;18
